dataset,oversampling,classifier,n_train_resampled,minority_ratio,oversample_time,train_time,AUC,F1,Precision,Recall
credit_default,CTAB-GAN+,RF,32710,0.5,612.88,0.58,0.7613,0.4666,0.6525,0.3631
credit_default,CTAB-GAN+,MLP,32710,0.5,612.88,78.93,0.7129,0.4501,0.4252,0.4782
pima_diabetes,CTAB-GAN+,RF,700,0.5,16.16,0.19,0.8363,0.6667,0.6437,0.6914
pima_diabetes,CTAB-GAN+,MLP,700,0.5,16.16,1.54,0.771,0.6012,0.5976,0.6049
yeast_me2,CTAB-GAN+,RF,2004,0.5,15.76,0.2,0.9101,0.0,0.0,0.0
yeast_me2,CTAB-GAN+,MLP,2004,0.5,15.76,1.0,0.7346,0.1538,0.0899,0.5333
mammography,CTAB-GAN+,RF,15292,0.5,15.59,0.31,0.9493,0.5047,0.3971,0.6923
mammography,CTAB-GAN+,MLP,15292,0.5,15.59,19.17,0.9657,0.4963,0.349,0.859
wine_quality,CTAB-GAN+,RF,6600,0.5,16.44,0.26,0.8503,0.2683,0.1728,0.6
wine_quality,CTAB-GAN+,MLP,6600,0.5,16.44,16.13,0.8088,0.306,0.2188,0.5091
ecoli,CTAB-GAN+,RF,422,0.5,14.39,0.16,0.9737,0.7,0.7778,0.6364
ecoli,CTAB-GAN+,MLP,422,0.5,14.39,0.8,0.9414,0.72,0.6429,0.8182
pageblocks,CTAB-GAN+,RF,7622,0.5,16.02,0.25,0.9963,0.5517,0.381,1.0
pageblocks,CTAB-GAN+,MLP,7622,0.5,16.02,3.75,0.9959,0.5926,0.4211,1.0
