dataset,classifier,oversampling,AUC,rank
credit_default,RF,SMOTE,0.7733,1
credit_default,RF,ADASYN,0.7684,2
credit_default,RF,CTGAN,0.7655,3
credit_default,RF,GA-G-CTGAN,0.765,4
credit_default,RF,G-CTGAN,0.7636,5
credit_default,RF,TVAE,0.7632,6
credit_default,RF,CTAB-GAN+,0.7613,7
credit_default,RF,G-SMOTE,0.7517,8
credit_default,LGBM,G-CTGAN,0.7813,1
credit_default,LGBM,TVAE,0.7804,2
credit_default,LGBM,GA-G-CTGAN,0.7785,3
credit_default,LGBM,CTGAN,0.7773,4
credit_default,LGBM,SMOTE,0.7719,5
credit_default,LGBM,ADASYN,0.768,6
credit_default,LGBM,G-SMOTE,0.7305,7
credit_default,MLP,CTAB-GAN+,0.7129,1
credit_default,MLP,CTGAN,0.7125,2
credit_default,MLP,G-CTGAN,0.7053,3
credit_default,MLP,GA-G-CTGAN,0.7006,4
credit_default,MLP,SMOTE,0.6901,5
credit_default,MLP,TVAE,0.6887,6
credit_default,MLP,G-SMOTE,0.6876,7
credit_default,MLP,ADASYN,0.6788,8
fraud_detection,RF,SMOTE,0.9763,1
fraud_detection,RF,G-SMOTE,0.9756,2
fraud_detection,RF,ADASYN,0.9753,3
fraud_detection,RF,CTGAN,0.9639,4
fraud_detection,RF,G-CTGAN,0.9618,5
fraud_detection,RF,TVAE,0.9551,6
fraud_detection,LGBM,SMOTE,0.9715,1
fraud_detection,LGBM,ADASYN,0.97,2
fraud_detection,LGBM,G-SMOTE,0.9693,3
fraud_detection,LGBM,G-CTGAN,0.9547,4
fraud_detection,LGBM,TVAE,0.9544,5
fraud_detection,LGBM,CTGAN,0.9475,6
fraud_detection,MLP,G-CTGAN,0.9718,1
fraud_detection,MLP,TVAE,0.9574,2
fraud_detection,MLP,CTGAN,0.9547,3
fraud_detection,MLP,SMOTE,0.9489,4
fraud_detection,MLP,G-SMOTE,0.9384,5
fraud_detection,MLP,ADASYN,0.9369,6
pima_diabetes,RF,ADASYN,0.8442,1
pima_diabetes,RF,SMOTE,0.8426,2
pima_diabetes,RF,CTAB-GAN+,0.8363,3
pima_diabetes,RF,G-SMOTE,0.8355,4
pima_diabetes,RF,TVAE,0.8349,5
pima_diabetes,RF,GA-G-CTGAN,0.8187,6
pima_diabetes,RF,CTGAN,0.8048,7
pima_diabetes,RF,G-CTGAN,0.8002,8
pima_diabetes,LGBM,G-SMOTE,0.8281,1
pima_diabetes,LGBM,TVAE,0.8238,2
pima_diabetes,LGBM,ADASYN,0.8228,3
pima_diabetes,LGBM,SMOTE,0.8133,4
pima_diabetes,LGBM,GA-G-CTGAN,0.8051,5
pima_diabetes,LGBM,CTGAN,0.7952,6
pima_diabetes,LGBM,G-CTGAN,0.7946,7
pima_diabetes,MLP,TVAE,0.801,1
pima_diabetes,MLP,ADASYN,0.7945,2
pima_diabetes,MLP,G-SMOTE,0.7816,3
pima_diabetes,MLP,SMOTE,0.7811,4
pima_diabetes,MLP,G-CTGAN,0.7734,5
pima_diabetes,MLP,CTAB-GAN+,0.771,6
pima_diabetes,MLP,CTGAN,0.7495,7
pima_diabetes,MLP,GA-G-CTGAN,0.743,8
ibm_attrition,RF,ADASYN,0.7888,1
ibm_attrition,RF,G-SMOTE,0.7888,2
ibm_attrition,RF,SMOTE,0.7797,3
ibm_attrition,RF,TVAE,0.778,4
ibm_attrition,RF,G-CTGAN,0.7754,5
ibm_attrition,RF,CTGAN,0.7665,6
ibm_attrition,RF,GA-G-CTGAN,0.765,7
ibm_attrition,LGBM,G-CTGAN,0.7702,1
ibm_attrition,LGBM,SMOTE,0.7659,2
ibm_attrition,LGBM,G-SMOTE,0.7657,3
ibm_attrition,LGBM,CTGAN,0.7655,4
ibm_attrition,LGBM,GA-G-CTGAN,0.7646,5
ibm_attrition,LGBM,ADASYN,0.764,6
ibm_attrition,LGBM,TVAE,0.7526,7
ibm_attrition,MLP,ADASYN,0.7454,1
ibm_attrition,MLP,G-SMOTE,0.7438,2
ibm_attrition,MLP,CTGAN,0.7415,3
ibm_attrition,MLP,SMOTE,0.7414,4
ibm_attrition,MLP,TVAE,0.7349,5
ibm_attrition,MLP,G-CTGAN,0.7275,6
ibm_attrition,MLP,GA-G-CTGAN,0.7204,7
yeast_me2,RF,GA-G-CTGAN,0.9318,1
yeast_me2,RF,CTGAN,0.9225,2
yeast_me2,RF,G-CTGAN,0.9183,3
yeast_me2,RF,TVAE,0.9145,4
yeast_me2,RF,CTAB-GAN+,0.9101,5
yeast_me2,RF,G-SMOTE,0.9058,6
yeast_me2,RF,SMOTE,0.9027,7
yeast_me2,RF,ADASYN,0.8919,8
yeast_me2,LGBM,SMOTE,0.9191,1
yeast_me2,LGBM,GA-G-CTGAN,0.9129,2
yeast_me2,LGBM,G-SMOTE,0.9109,3
yeast_me2,LGBM,G-CTGAN,0.9066,4
yeast_me2,LGBM,ADASYN,0.9036,5
yeast_me2,LGBM,TVAE,0.9004,6
yeast_me2,LGBM,CTGAN,0.8905,7
yeast_me2,MLP,G-CTGAN,0.8704,1
yeast_me2,MLP,CTGAN,0.8367,2
yeast_me2,MLP,GA-G-CTGAN,0.8311,3
yeast_me2,MLP,SMOTE,0.8192,4
yeast_me2,MLP,G-SMOTE,0.8076,5
yeast_me2,MLP,ADASYN,0.8074,6
