dataset,oversampling,classifier,AUC_mean,AUC_std,PRAUC_mean,F1_mean,oversample_time,train_time,n_splits,minority_ratio
abalone_19,GA-G-CTGAN,LGBM,0.7213523438285372,0.09164640862810422,0.06863401879836954,0.07670454545454546,9.6769300699234,0.05850028991699219,4,0.07827440644937345
abalone_19,GA-G-CTGAN,MLP,0.7324121233008045,0.017928774868212937,0.028977884898325833,0.05698005698005698,9.6769300699234,3.4376633167266846,4,0.07827440644937345
abalone_19,GA-G-CTGAN,RF,0.7533857812342926,0.019379423680608607,0.029508373158903353,0.0,9.6769300699234,0.27717065811157227,4,0.07827440644937345
credit_default,GA-G-CTGAN,LGBM,0.7847289776189527,0.006762658638069293,0.5595093021996121,0.49799987861474576,302.8060198783875,0.1334010124206543,5,0.44125422718718516
credit_default,GA-G-CTGAN,MLP,0.7007299653828318,0.013605453258407757,0.40722559868295216,0.4142149937005679,302.8060198783875,46.74218254089355,5,0.44125422718718516
credit_default,GA-G-CTGAN,RF,0.7727776210185573,0.005745801805288324,0.5516644909950902,0.4992739412147137,302.8060198783875,0.7347997188568115,5,0.44125422718718516
ecoli,GA-G-CTGAN,LGBM,0.9554392056530214,0.021223241116962152,0.7330063790208718,0.6489850427350428,34.01425004005432,0.03949230909347534,4,0.47196194984394524
ecoli,GA-G-CTGAN,MLP,0.9377083333333334,0.025258084288048238,0.6142140244468676,0.5865911582024114,34.01425004005432,0.49846434593200684,4,0.47196194984394524
ecoli,GA-G-CTGAN,RF,0.9561799463937621,0.016340907145942444,0.7487687923269064,0.6167557932263814,34.01425004005432,0.24400246143341064,4,0.47196194984394524
fraud_detection,GA-G-CTGAN,LGBM,0.9772740575612641,0.003829181028790992,0.7285277780241277,0.6705408955568167,23.785091876983643,0.4902023792266846,5,0.018679653074484145
fraud_detection,GA-G-CTGAN,MLP,0.9638952632712069,0.007979413950484291,0.8230812485110792,0.8292150877764538,23.785091876983643,43.33530941009521,5,0.018679653074484145
fraud_detection,GA-G-CTGAN,RF,0.9760836933006383,0.010424010323406415,0.8276559816669324,0.8120692009454867,23.785091876983643,17.360291051864625,5,0.018679653074484145
ibm_attrition,GA-G-CTGAN,LGBM,0.8103893758487072,0.02676042070156865,0.5742261149493509,0.41807767088408465,122.2664740562439,0.0774003028869629,5,0.4554002217117487
