dataset,oversampling,classifier,fold,n_splits,oversample_time,train_time,n_resampled,minority_ratio,AUC,PR_AUC,F1,Precision,Recall,ga_best_k,ga_best_cv_auc,ga_ga_time,ga_gens_run,ga_fell_back,ga_surrogate,ga_ratio_vec,surrogate
pima_diabetes,GA-G-CTGAN,RF,0,5,84.43797063827515,0.2709991931915283,734,0.4550408719346049,0.8562962962962963,0.6960802516466414,0.6792452830188679,0.6923076923076923,0.6666666666666666,4,0.8780274068856999,76.16,10,False,ensemble,"[0.121, 0.849, 0.667, 0.691]",ensemble
pima_diabetes,GA-G-CTGAN,LGBM,0,5,84.43797063827515,0.0519556999206543,734,0.4550408719346049,0.8362962962962963,0.6733985056365799,0.6666666666666666,0.6491228070175439,0.6851851851851852,4,0.8780274068856999,76.16,10,False,ensemble,"[0.121, 0.849, 0.667, 0.691]",ensemble
pima_diabetes,GA-G-CTGAN,MLP,0,5,84.43797063827515,0.9250001907348633,734,0.4550408719346049,0.7935185185185185,0.5968511245634953,0.6111111111111112,0.6111111111111112,0.6111111111111112,4,0.8780274068856999,76.16,10,False,ensemble,"[0.121, 0.849, 0.667, 0.691]",ensemble
pima_diabetes,GA-G-CTGAN,RF,1,5,92.27491664886475,0.2739999294281006,772,0.48186528497409326,0.8637037037037038,0.7774267916353117,0.6666666666666666,0.7083333333333334,0.6296296296296297,5,0.8842811470177612,81.57,15,False,ensemble,"[0.67, 0.337, 0.829, 0.78, 0.688]",ensemble
pima_diabetes,GA-G-CTGAN,LGBM,1,5,92.27491664886475,0.0559999942779541,772,0.48186528497409326,0.8462962962962963,0.690486478494504,0.6542056074766355,0.660377358490566,0.6481481481481481,5,0.8842811470177612,81.57,15,False,ensemble,"[0.67, 0.337, 0.829, 0.78, 0.688]",ensemble
pima_diabetes,GA-G-CTGAN,MLP,1,5,92.27491664886475,1.0014393329620361,772,0.48186528497409326,0.795,0.6194194379620669,0.616822429906542,0.6226415094339622,0.6111111111111112,5,0.8842811470177612,81.57,15,False,ensemble,"[0.67, 0.337, 0.829, 0.78, 0.688]",ensemble
pima_diabetes,GA-G-CTGAN,RF,2,5,84.42798614501953,0.24899888038635254,746,0.46380697050938335,0.8379629629629629,0.7274053940462397,0.7068965517241379,0.6612903225806451,0.7592592592592593,9,0.8708336712296977,66.64,10,False,ensemble,"[0.727, 0.562, 0.666, 0.333, 0.85, 0.781, 0.676, 0.156, 0.43]",ensemble
pima_diabetes,GA-G-CTGAN,LGBM,2,5,84.42798614501953,0.049001455307006836,746,0.46380697050938335,0.822962962962963,0.7039626565239083,0.6727272727272727,0.6607142857142857,0.6851851851851852,9,0.8708336712296977,66.64,10,False,ensemble,"[0.727, 0.562, 0.666, 0.333, 0.85, 0.781, 0.676, 0.156, 0.43]",ensemble
pima_diabetes,GA-G-CTGAN,MLP,2,5,84.42798614501953,1.0030004978179932,746,0.46380697050938335,0.7694444444444445,0.6794498305894825,0.639344262295082,0.5735294117647058,0.7222222222222222,9,0.8708336712296977,66.64,10,False,ensemble,"[0.727, 0.562, 0.666, 0.333, 0.85, 0.781, 0.676, 0.156, 0.43]",ensemble
pima_diabetes,GA-G-CTGAN,RF,3,5,58.874199628829956,0.261000394821167,762,0.47506561679790027,0.8160377358490567,0.6437154582739719,0.6037735849056604,0.6037735849056604,0.6037735849056604,3,0.8735020165231548,52.33,11,False,ensemble,"[0.721, 0.57, 0.663]",ensemble
pima_diabetes,GA-G-CTGAN,LGBM,3,5,58.874199628829956,0.04999971389770508,762,0.47506561679790027,0.7911320754716982,0.609600823890294,0.6355140186915887,0.6296296296296297,0.6415094339622641,3,0.8735020165231548,52.33,11,False,ensemble,"[0.721, 0.57, 0.663]",ensemble
