dataset,oversampling,classifier,n_train_resampled,minority_ratio,best_k,best_cv_auc,ga_time,train_time,AUC,F1,Precision,Recall
credit_default,GA-G-CTGAN,RF,29071,0.4374,9,0.9125252156319169,714.12,1.48,0.765,0.4832,0.6188,0.3963
credit_default,GA-G-CTGAN,LGBM,29071,0.4374,9,0.9125252156319169,714.12,0.4,0.7785,0.4777,0.6394,0.3812
credit_default,GA-G-CTGAN,MLP,29071,0.4374,9,0.9125252156319169,714.12,88.46,0.7006,0.4355,0.4903,0.3918
fraud_detection,GA-G-CTGAN,RF,202788,0.0186,6,0.0,0.06,32.25,0.9751,0.7922,0.7625,0.8243
fraud_detection,GA-G-CTGAN,LGBM,202788,0.0186,6,0.0,0.06,1.19,0.9634,0.6509,0.5322,0.8378
fraud_detection,GA-G-CTGAN,MLP,202788,0.0186,6,0.0,0.06,108.57,0.9605,0.8185,0.8647,0.777
pima_diabetes,GA-G-CTGAN,RF,661,0.4705,4,0.8819289005924951,129.24,0.3,0.8187,0.6282,0.6533,0.6049
pima_diabetes,GA-G-CTGAN,LGBM,661,0.4705,4,0.8819289005924951,129.24,0.13,0.8051,0.6225,0.6714,0.5802
pima_diabetes,GA-G-CTGAN,MLP,661,0.4705,4,0.8819289005924951,129.24,1.36,0.743,0.5157,0.5256,0.5062
ibm_attrition,GA-G-CTGAN,RF,1568,0.4496,6,0.9534218499588617,379.16,0.31,0.765,0.1978,0.45,0.1268
ibm_attrition,GA-G-CTGAN,LGBM,1568,0.4496,6,0.9534218499588617,379.16,0.26,0.7646,0.3333,0.5484,0.2394
ibm_attrition,GA-G-CTGAN,MLP,1568,0.4496,6,0.9534218499588617,379.16,1.12,0.7204,0.406,0.4355,0.3803
yeast_me2,GA-G-CTGAN,RF,1358,0.2622,3,0.992163364515451,91.95,0.31,0.9318,0.1905,0.3333,0.1333
yeast_me2,GA-G-CTGAN,LGBM,1358,0.2622,3,0.992163364515451,91.95,0.16,0.9129,0.3333,0.4444,0.2667
yeast_me2,GA-G-CTGAN,MLP,1358,0.2622,3,0.992163364515451,91.95,2.49,0.8311,0.3137,0.2222,0.5333
mammography,GA-G-CTGAN,RF,9612,0.2045,9,0.9895687535977261,189.22,0.41,0.9562,0.6404,0.57,0.7308
mammography,GA-G-CTGAN,LGBM,9612,0.2045,9,0.9895687535977261,189.22,0.17,0.9678,0.7039,0.6238,0.8077
mammography,GA-G-CTGAN,MLP,9612,0.2045,9,0.9895687535977261,189.22,8.37,0.9587,0.5672,0.4634,0.7308
abalone_19,GA-G-CTGAN,RF,3142,0.0767,5,0.0,0.05,0.34,0.8211,0.0,0.0,0.0
abalone_19,GA-G-CTGAN,LGBM,3142,0.0767,5,0.0,0.05,0.19,0.777,0.0,0.0,0.0
abalone_19,GA-G-CTGAN,MLP,3142,0.0767,5,0.0,0.05,4.46,0.8445,0.0588,0.0417,0.1
wine_quality,GA-G-CTGAN,RF,4671,0.2935,2,0.9633058756107861,130.54,0.37,0.8419,0.1633,0.186,0.1455
wine_quality,GA-G-CTGAN,LGBM,4671,0.2935,2,0.9633058756107861,130.54,0.2,0.879,0.3168,0.3478,0.2909
wine_quality,GA-G-CTGAN,MLP,4671,0.2935,2,0.9633058756107861,130.54,7.82,0.8082,0.463,0.4717,0.4545
ecoli,GA-G-CTGAN,RF,394,0.4645,3,0.9937525565432542,85.39,0.27,0.9697,0.6316,0.75,0.5455
ecoli,GA-G-CTGAN,LGBM,394,0.4645,3,0.9937525565432542,85.39,0.08,0.9687,0.8,0.8889,0.7273
ecoli,GA-G-CTGAN,MLP,394,0.4645,3,0.9937525565432542,85.39,0.74,0.9131,0.6897,0.5556,0.9091
pageblocks,GA-G-CTGAN,RF,4031,0.0546,5,0.0,0.05,0.35,0.9976,0.64,0.4706,1.0
pageblocks,GA-G-CTGAN,LGBM,4031,0.0546,5,0.0,0.05,0.16,0.9987,0.6154,0.4444,1.0
pageblocks,GA-G-CTGAN,MLP,4031,0.0546,5,0.0,0.05,1.45,0.9971,0.6154,0.4444,1.0
protein_homo,GA-G-CTGAN,RF,111065,0.0896,2,0.0,0.03,12.38,0.9909,0.8434,0.9344,0.7686
protein_homo,GA-G-CTGAN,LGBM,111065,0.0896,2,0.0,0.03,1.62,0.9948,0.7707,0.7043,0.8509
protein_homo,GA-G-CTGAN,MLP,111065,0.0896,2,0.0,0.03,28.93,0.9953,0.856,0.8983,0.8175
