dataset,oversampling,classifier,fold,n_splits,oversample_time,train_time,n_resampled,minority_ratio,AUC,PR_AUC,F1,Precision,Recall,ga_best_k,ga_best_cv_auc,ga_ga_time,ga_gens_run,ga_fell_back,ga_surrogate,ga_ratio_vec,surrogate
pima_diabetes,GA-G-CTGAN,RF,0,5,61.06728768348694,0.25499939918518066,766,0.47780678851174935,0.8581481481481481,0.7109122117217238,0.7169811320754716,0.7307692307692307,0.7037037037037037,4,0.8848313590435595,49.93,8,False,rf,"[0.67, 0.337, 0.845, 0.781]",rf
pima_diabetes,GA-G-CTGAN,LGBM,0,5,61.06728768348694,0.05718350410461426,766,0.47780678851174935,0.8524074074074074,0.6865208950618411,0.660377358490566,0.6730769230769231,0.6481481481481481,4,0.8848313590435595,49.93,8,False,rf,"[0.67, 0.337, 0.845, 0.781]",rf
pima_diabetes,GA-G-CTGAN,MLP,0,5,61.06728768348694,0.8970611095428467,766,0.47780678851174935,0.8044444444444445,0.6033774781026484,0.6491228070175439,0.6166666666666667,0.6851851851851852,4,0.8848313590435595,49.93,8,False,rf,"[0.67, 0.337, 0.845, 0.781]",rf
pima_diabetes,GA-G-CTGAN,RF,1,5,35.34500026702881,0.259000301361084,774,0.48320413436692505,0.8601851851851853,0.7688514553032292,0.6915887850467289,0.6981132075471698,0.6851851851851852,5,0.8777352287797008,24.95,7,False,rf,"[0.67, 0.337, 0.845, 0.781, 0.686]",rf
pima_diabetes,GA-G-CTGAN,LGBM,1,5,35.34500026702881,0.04900002479553223,774,0.48320413436692505,0.8559259259259259,0.7263298477340496,0.6857142857142857,0.7058823529411765,0.6666666666666666,5,0.8777352287797008,24.95,7,False,rf,"[0.67, 0.337, 0.845, 0.781, 0.686]",rf
pima_diabetes,GA-G-CTGAN,MLP,1,5,35.34500026702881,0.974402904510498,774,0.48320413436692505,0.799074074074074,0.6373563322667539,0.6407766990291263,0.673469387755102,0.6111111111111112,5,0.8777352287797008,24.95,7,False,rf,"[0.67, 0.337, 0.845, 0.781, 0.686]",rf
pima_diabetes,GA-G-CTGAN,RF,2,5,50.96699929237366,0.26600146293640137,712,0.43820224719101125,0.8307407407407408,0.7189237751634818,0.6842105263157895,0.65,0.7222222222222222,9,0.8664377649059501,34.06,7,False,rf,"[0.638, 0.401, 0.559, 0.527, 0.588, 0.114, 0.387, 0.079, 0.451]",rf
pima_diabetes,GA-G-CTGAN,LGBM,2,5,50.96699929237366,0.05000042915344238,712,0.43820224719101125,0.8237037037037037,0.7396176761658884,0.6902654867256637,0.6610169491525424,0.7222222222222222,9,0.8664377649059501,34.06,7,False,rf,"[0.638, 0.401, 0.559, 0.527, 0.588, 0.114, 0.387, 0.079, 0.451]",rf
pima_diabetes,GA-G-CTGAN,MLP,2,5,50.96699929237366,0.9344217777252197,712,0.43820224719101125,0.7762962962962963,0.7030692327342147,0.6115702479338843,0.5522388059701493,0.6851851851851852,9,0.8664377649059501,34.06,7,False,rf,"[0.638, 0.401, 0.559, 0.527, 0.588, 0.114, 0.387, 0.079, 0.451]",rf
pima_diabetes,GA-G-CTGAN,RF,3,5,51.51600003242493,0.24899983406066895,777,0.4851994851994852,0.8079245283018868,0.6502404969481135,0.6037735849056604,0.6037735849056604,0.6037735849056604,3,0.8944224503452425,45.06,15,False,rf,"[0.811, 0.415, 0.745]",rf
