classifier,vs_method,rank_diff,p_value,significant_0.05
RF,SMOTE,-0.409,1.0,False
RF,ADASYN,-0.545,1.0,False
RF,G-SMOTE,0.091,1.0,False
RF,CTGAN,-4.273,0.008,True
RF,TVAE,-2.136,0.662,False
RF,FF-SMOTE,-1.909,0.786,False
RF,GMMSampling,-2.455,0.472,False
RF,G-CTGAN,-2.273,0.581,False
LGBM,SMOTE,-3.273,0.114,False
LGBM,ADASYN,-2.364,0.526,False
LGBM,G-SMOTE,-3.091,0.167,False
LGBM,CTGAN,-2.909,0.236,False
LGBM,TVAE,-3.182,0.139,False
LGBM,FF-SMOTE,-3.545,0.061,False
LGBM,GMMSampling,-3.182,0.139,False
LGBM,G-CTGAN,-2.182,0.636,False
MLP,SMOTE,-3.455,0.076,False
MLP,ADASYN,-3.273,0.114,False
MLP,G-SMOTE,-3.545,0.061,False
MLP,CTGAN,-0.455,1.0,False
MLP,TVAE,-1.545,0.925,False
MLP,FF-SMOTE,-4.273,0.008,True
MLP,GMMSampling,-0.364,1.0,False
MLP,G-CTGAN,-1.091,0.991,False
